,id,event,draw,teamA,teamB,lsfe,endsScheduled,scorelineA,scorelineB,scoreA,scoreB,winner
107,366882,9067,4,192958,192960,192960,8,000020020000,000201000000,4,3,192958
108,366883,9067,4,192956,192957,192957,8,020010100000,300201000000,4,6,192957
109,366884,9067,5,192961,191992,191992,8,010210100000,201002010000,5,6,191992
110,366885,9067,5,192053,192959,192959,8,030021000000,002100200000,6,5,192053
111,366886,9067,6,192689,192957,192957,8,020210210000,301001000000,8,5,192689
112,366887,9067,6,192958,192956,192958,8,021010100,000201021,5,6,192956
113,366888,9067,7,191992,192053,191992,8,121400000000,000010000000,8,1,191992
114,366889,9067,7,192959,192341,192341,8,102010100000,020302000000,5,7,192341
115,366890,9067,8,192957,192960,192960,8,010020200,002101011,5,6,192960
116,366891,9067,8,192956,192689,192689,8,000101000000,001040200000,2,7,192689
117,366892,9067,9,192341,191992,192341,8,111010100000,000102000000,5,3,192341
118,366893,9067,9,192053,192961,192961,8,000100000000,011035000000,1,10,192961
119,366894,9067,10,192689,192958,192689,8,020201100000,002000000000,6,2,192689
120,366895,9067,10,192960,192956,192960,8,020201000000,002010100000,5,4,192960
121,366916,9067,11,192960,192341,192960,8,160101100000,002030000000,10,5,192960
122,366917,9067,11,191992,192689,192689,8,000202010000,100010200000,5,4,191992
123,366919,9067,12,192341,192689,192341,8,200204100000,020030000000,9,5,192341
124,366918,9067,13,192960,191992,191992,8,000001000000,012010200000,1,6,191992
125,366861,9136,1,192089,192090,192089,8,101020000000,040102100000,4,8,192090
126,366862,9136,2,192089,192088,192089,8,102400000000,010010000000,7,2,192089
127,366863,9136,3,192090,192088,192088,8,010201020000,102000100000,6,4,192090
128,366864,9136,4,192090,192089,192089,8,010010010000,000001100000,3,2,192090
129,366865,9136,5,192088,192089,192089,8,110001000000,001100500000,3,7,192089
130,366866,9136,6,192088,192090,192088,8,101020000000,010104200000,4,8,192090
131,366813,9205,1,192562,192345,192345,8,010020000000,405300000000,3,12,192345
132,366814,9205,1,193042,192344,192344,8,010000000000,201030100000,1,7,192344
133,366815,9205,1,192368,192420,192368,8,402000100000,030020000000,7,5,192368
134,366816,9205,1,192475,192082,192475,8,201030100000,000101000000,7,2,192475
135,366817,9205,2,192074,192386,192074,8,021000100000,200031000000,4,6,192386
136,366818,9205,2,192388,192618,192388,8,010301010000,001010300000,6,5,192388
137,366819,9205,2,192339,192392,192392,8,000201020000,010020100000,5,4,192339
138,366820,9205,2,192416,191844,192416,8,110110000000,002003010000,4,6,191844
